product_id,product_name,category,price
1,Baseball Cap,Clothing,24.99
2,Laptop Stand,Electronics,39.99
3,Running Shoes,Clothing,79.99
4,Mechanical Keyboard,Electronics,89.99
5,Dinner Set,Home & Kitchen,89.99
6,Winter Jacket,Clothing,99.99
7,Desk Lamp,Home & Kitchen,29.99
8,Basketball,Sports,24.99
9,Blender,Home & Kitchen,69.99
10,Cotton T-Shirt,Clothing,19.99
11,Blender,Home & Kitchen,69.99
12,Blender,Home & Kitchen,69.99
13,Denim Jeans,Clothing,49.99
14,Tennis Racket,Sports,89.99
15,Winter Jacket,Clothing,99.99
16,Tennis Racket,Sports,89.99
17,Basketball,Sports,24.99
18,Laptop Stand,Electronics,39.99
19,Dumbbells Set,Sports,79.99
20,Basketball,Sports,24.99
update
